call_price,path
683.988,2,
462.679,3,
375.611,4,
316.918,5,
268.764,6,
236.692,7,
213.607,8,
195.556,9,
180.501,10,
166.476,11,
159.907,12,
148.606,13,
150.559,14,
145.111,15,
138.131,16,
134.058,17,
128.466,18,
129.869,19,
124.113,20,
120.018,21,
117.308,22,
114.374,23,
111.533,24,
111.111,25,
107.712,26,
104.153,27,
107.455,28,
104.22,29,
106.336,30,
104.546,31,
102.694,32,
101.633,33,
99.644,34,
97.0026,35,
103.041,36,
101.286,37,
100.21,38,
98.0227,39,
99.4144,40,
97.9849,41,
96.9951,42,
96.368,43,
94.9245,44,
94.0849,45,
92.9153,46,
94.1563,47,
92.5102,48,
92.7844,49,
91.3622,50,
90.5623,51,
89.6962,52,
88.3252,53,
89.1822,54,
88.7473,55,
87.7922,56,
86.9657,57,
86.4418,58,
86.2021,59,
85.2958,60,
86.1282,61,
85.0107,62,
84.9868,63,
84.0891,64,
83.2455,65,
83.1755,66,
82.1286,67,
83.4999,68,
83.4253,69,
82.6528,70,
81.9668,71,
81.7699,72,
81.505,73,
80.9017,74,
80.9205,75,
80.2233,76,
83.0917,77,
82.1229,78,
81.548,79,
81.3124,80,
80.6564,81,
80.668,82,
82.667,83,
81.7927,84,
81.7236,85,
81.1257,86,
81.1322,87,
80.5301,88,
80.3549,89,
79.8558,90,
79.1477,91,
79.9023,92,
79.7131,93,
79.258,94,
79.7048,95,
79.071,96,
78.5648,97,
78.5462,98,
78.1807,99,
77.9423,100,
78.0064,101,
77.5086,102,
77.2022,103,
76.9416,104,
76.4711,105,
76.5375,106,
76.1038,107,
76.1061,108,
75.7404,109,
75.629,110,
75.1511,111,
75.3886,112,
75.135,113,
74.908,114,
75.3735,115,
74.8776,116,
75.3945,117,
74.8991,118,
74.39,119,
75.1019,120,
75.5763,121,
75.0987,122,
74.8816,123,
74.6613,124,
74.4602,125,
74.2381,126,
73.9156,127,
73.8784,128,
75.3811,129,
74.8665,130,
74.6569,131,
74.4591,132,
74.1212,133,
74.1497,134,
73.7258,135,
74.1792,136,
74.8727,137,
74.4281,138,
74.0042,139,
74.5306,140,
74.3427,141,
74.1566,142,
73.9048,143,
73.8105,144,
73.5103,145,
73.5271,146,
73.9685,147,
73.5806,148,
73.428,149,
73.2403,150,
73.0517,151,
72.9094,152,
73.488,153,
73.1028,154,
72.717,155,
73.3527,156,
73.4165,157,
73.1264,158,
73.2024,159,
72.9136,160,
73.0818,161,
72.7725,162,
72.4463,163,
72.7183,164,
72.3318,165,
73.4262,166,
73.4074,167,
73.1653,168,
73.4088,169,
73.0951,170,
73.0304,171,
72.8215,172,
72.8536,173,
72.6036,174,
72.6253,175,
72.3837,176,
75.3929,177,
74.9899,178,
75.2616,179,
74.9465,180,
74.6828,181,
74.7367,182,
74.5051,183,
74.4866,184,
74.2766,185,
74.2245,186,
74.0909,187,
73.9455,188,
73.8579,189,
73.6802,190,
73.8488,191,
73.5772,192,
73.4051,193,
73.3207,194,
73.4798,195,
73.2172,196,
72.9965,197,
73.0185,198,
72.8558,199,
72.7747,200,
72.6694,201,
72.5305,202,
72.3952,203,
72.2907,204,
72.0893,205,
72.0996,206,
71.8644,207,
71.9908,208,
71.75,209,
71.9131,210,
71.8339,211,
71.6917,212,
71.7911,213,
71.5713,214,
71.2916,215,
71.8862,216,
71.7914,217,
71.6679,218,
71.5591,219,
71.4525,220,
71.941,221,
71.6743,222,
71.7147,223,
71.5218,224,
71.4412,225,
71.3159,226,
71.5512,227,
71.318,228,
71.2749,229,
71.1278,230,
71.2725,231,
71.06,232,
70.8498,233,
70.9912,234,
70.7989,235,
70.8765,236,
70.8919,237,
70.7237,238,
70.5114,239,
70.6963,240,
70.4732,241,
70.7408,242,
70.5736,243,
70.5975,244,
70.332,245,
71.6901,246,
71.564,247,
71.5043,248,
71.2599,249,
71.8322,250,
71.8398,251,
71.6785,252,
72.0207,253,
71.7941,254,
71.6211,255,
71.6658,256,
71.4787,257,
71.5792,258,
71.4309,259,
71.423,260,
71.62,261,
71.4179,262,
71.3935,263,
71.2572,264,
71.0691,265,
71.2049,266,
71.1974,267,
71.0558,268,
70.934,269,
70.8939,270,
70.7741,271,
70.7341,272,
70.6507,273,
70.568,274,
70.3886,275,
70.5255,276,
70.4765,277,
70.3684,278,
70.4952,279,
70.321,280,
70.2745,281,
70.1678,282,
70.5541,283,
70.3505,284,
70.2915,285,
70.1961,286,
70.0256,287,
70.1573,288,
70.7797,289,
70.567,290,
70.4623,291,
70.4175,292,
70.2482,293,
70.3845,294,
70.3306,295,
70.2357,296,
70.0953,297,
70.1306,298,
70.0529,299,
69.983,300,
69.8991,301,
69.8381,302,
70.2299,303,
70.0387,304,
69.8736,305,
70.0268,306,
69.8798,307,
69.9526,308,
69.8339,309,
69.8316,310,
69.8064,311,
69.7017,312,
69.542,313,
69.6914,314,
69.6762,315,
69.5679,316,
69.541,317,
69.4409,318,
69.5148,319,
69.3748,320,
69.2466,321,
69.2845,322,
69.2119,323,
69.1533,324,
69.0592,325,
69.0305,326,
68.8962,327,
68.9649,328,
68.7882,329,
