call_price,path
26.8964,2,
44.6353,3,
48.029,4,
38.4232,5,
53.1826,6,
57.5117,7,
50.3228,8,
47.8517,9,
43.3695,10,
39.4268,11,
37.8245,12,
35.0018,13,
32.5017,14,
31.6796,15,
42.1221,16,
46.3069,17,
56.9034,18,
60.3096,19,
63.5604,20,
60.5337,21,
59.5574,22,
62.6003,23,
66.2417,24,
68.1088,25,
65.4892,26,
63.6283,27,
63.1609,28,
62.7398,29,
60.7256,30,
58.7667,31,
56.9303,32,
55.5265,33,
53.8934,34,
54.7708,35,
54.0507,36,
53.9264,37,
54.35,38,
55.9139,39,
54.9325,40,
54.3377,41,
54.2465,42,
52.985,43,
51.9283,44,
52.1442,45,
51.0106,46,
51.938,47,
51.5526,48,
51.1767,49,
50.3334,50,
50.203,51,
50.0286,52,
49.8675,53,
49.2115,54,
48.4725,55,
47.7967,56,
47.4936,57,
46.6747,58,
45.8836,59,
45.1627,60,
45.0199,61,
45.1065,62,
44.3905,63,
43.7527,64,
43.0954,65,
43.4748,66,
42.8259,67,
42.1961,68,
41.5846,69,
43.9687,70,
44.1329,71,
44.2879,72,
44.1614,73,
43.5647,74,
43.0319,75,
43.0528,76,
43.8763,77,
43.5144,78,
42.9635,79,
42.8191,80,
42.4363,81,
41.9188,82,
41.5082,83,
41.0141,84,
41.0599,85,
40.5825,86,
40.6907,87,
40.2283,88,
39.7763,89,
39.4421,90,
39.1799,91,
38.8975,92,
38.6115,93,
38.3647,94,
38.2718,95,
38.3916,96,
38.376,97,
38.8737,98,
38.9176,99,
39.0519,100,
38.6749,101,
38.6527,102,
38.6002,103,
38.2291,104,
38.1552,105,
38.1448,106,
37.7883,107,
37.7096,108,
37.3636,109,
37.1426,110,
36.9544,111,
37.0376,112,
37.733,113,
37.5994,114,
37.3169,115,
37.5942,116,
37.4741,117,
37.6013,118,
37.2853,119,
36.9746,120,
37.0219,121,
37.1705,122,
36.8683,123,
37.0151,124,
36.8536,125,
37.3439,126,
37.33,127,
37.1162,128,
37.4043,129,
37.1989,130,
37.7938,131,
37.6828,132,
37.5514,133,
37.2712,134,
36.9951,135,
37.0488,136,
36.7784,137,
36.5119,138,
36.2492,139,
36.3673,140,
36.5318,141,
37.5015,142,
37.2393,143,
37.0126,144,
37.1277,145,
36.8905,146,
36.6395,147,
36.392,148,
36.7635,149,
36.5184,150,
36.3146,151,
36.6072,152,
36.3679,153,
36.5309,154,
36.2952,155,
36.7729,156,
36.7071,157,
36.773,158,
36.6319,159,
37.4643,160,
37.268,161,
37.038,162,
37.162,163,
37.2385,164,
37.1555,165,
37.0786,166,
36.9788,167,
36.9969,168,
37.2827,169,
37.2699,170,
37.0613,171,
37.0392,172,
37.0771,173,
36.9133,174,
36.9485,175,
36.8603,176,
36.6959,177,
36.4898,178,
36.4087,179,
36.3095,180,
36.1089,181,
35.9621,182,
35.7656,183,
35.6034,184,
35.5127,185,
35.4521,186,
35.5147,187,
35.3586,188,
35.6721,189,
36.125,190,
35.9359,191,
35.7487,192,
35.6778,193,
35.539,194,
35.4287,195,
35.29,196,
35.1109,197,
35.1315,198,
34.9797,199,
34.8464,200,
34.673,201,
34.9505,202,
35.0238,203,
34.9091,204,
34.7545,205,
34.9027,206,
34.8241,207,
34.7859,208,
34.6195,209,
34.4546,210,
34.4103,211,
34.3151,212,
34.1547,213,
34.0189,214,
34.0019,215,
33.9313,216,
33.9334,217,
33.9509,218,
33.9887,219,
34.6233,220,
34.524,221,
34.5411,222,
34.3862,223,
34.6038,224,
34.45,225,
34.3719,226,
34.5882,227,
34.5292,228,
34.3784,229,
34.3012,230,
34.3957,231,
34.3058,232,
34.2421,233,
34.1818,234,
35.0238,235,
34.9281,236,
34.7807,237,
34.8994,238,
34.804,239,
34.7644,240,
34.6202,241,
34.5443,242,
34.8878,243,
35.3478,244,
35.2035,245,
35.0604,246,
35.1065,247,
35.5326,248,
35.6081,249,
35.4921,250,
35.6177,251,
35.6082,252,
35.4675,253,
35.3495,254,
35.2465,255,
35.3565,256,
35.2189,257,
35.0824,258,
35.1435,259,
35.1277,260,
35.0363,261,
35.0648,262,
35.2442,263,
35.1107,264,
34.9782,265,
35.4228,266,
35.2908,267,
35.1592,268,
35.0285,269,
34.9039,270,
34.7751,271,
34.8358,272,
34.9544,273,
34.8268,274,
34.7839,275,
34.7578,276,
34.7061,277,
34.5812,278,
34.4573,279,
34.4532,280,
34.5535,281,
34.4987,282,
34.4724,283,
34.3925,284,
34.2922,285,
34.1723,286,
34.114,287,
33.9955,288,
33.9098,289,
33.8201,290,
33.7039,291,
33.7405,292,
33.6254,293,
33.511,294,
33.3974,295,
33.2846,296,
33.1725,297,
33.1174,298,
33.0066,299,
33.0814,300,
33.0057,301,
33.3983,302,
33.2881,303,
33.3615,304,
33.5106,305,
33.4097,306,
33.6333,307,
33.5241,308,
33.4663,309,
33.3583,310,
33.3011,311,
33.2582,312,
33.1677,313,
33.2951,314,
33.4362,315,
33.3473,316,
33.2642,317,
33.1596,318,
33.0557,319,
32.9524,320,
32.9972,321,
33.1112,322,
33.0346,323,
32.9327,324,
32.8314,325,
32.733,326,
32.6615,327,
32.6101,328,
32.511,329,
32.4124,330,
32.3145,331,
32.2642,332,
32.4677,333,
32.7021,334,
32.9384,335,
32.9301,336,
32.8995,337,
32.9313,338,
32.8342,339,
32.7716,340,
32.6755,341,
32.6405,342,
32.5626,343,
32.468,344,
32.5337,345,
32.4511,346,
32.3576,347,
32.2917,348,
32.1992,349,
32.3394,350,
32.2472,351,
32.3052,352,
32.2982,353,
32.207,354,
32.2286,355,
32.1381,356,
32.1312,357,
32.0857,358,
32.0317,359,
31.9639,360,
31.9313,361,
31.9482,362,
31.8665,363,
31.7837,364,
31.8109,365,
31.7982,366,
31.7116,367,
31.77,368,
31.7763,369,
31.6993,370,
31.6139,371,
31.5508,372,
31.4849,373,
31.415,374,
31.4043,375,
31.4644,376,
31.5065,377,
31.5079,378,
31.4248,379,
31.3624,380,
31.521,381,
31.4732,382,
31.5126,383,
31.4377,384,
31.3959,385,
31.5275,386,
31.476,387,
31.4348,388,
31.3859,389,
31.4166,390,
31.3437,391,
31.2638,392,
31.2276,393,
31.1703,394,
31.135,395,
31.2267,396,
31.285,397,
31.2227,398,
31.2696,399,
31.4046,400,
31.3994,401,
31.3708,402,
31.3119,403,
31.2344,404,
31.2886,405,
31.2115,406,
31.1815,407,
31.3633,408,
31.3008,409,
31.6677,410,
31.8288,411,
31.7516,412,
31.8423,413,
31.7654,414,
31.7381,415,
31.6818,416,
31.6708,417,
31.7081,418,
31.689,419,
31.6483,420,
31.5731,421,
31.5447,422,
31.4763,423,
31.402,424,
31.3615,425,
31.4705,426,
31.3968,427,
31.3234,428,
31.3913,429,
31.487,430,
31.4139,431,
31.3689,432,
31.2965,433,
31.2244,434,
31.1526,435,
31.0812,436,
31.01,437,
31.0553,438,
31.0109,439,
30.973,440,
30.9101,441,
30.8401,442,
30.9702,443,
30.9666,444,
30.9221,445,
30.9159,446,
30.8468,447,
30.8303,448,
30.9392,449,
30.9575,450,
31.2141,451,
31.1585,452,
31.1158,453,
31.1206,454,
31.0522,455,
31.0644,456,
30.9965,457,
30.9288,458,
30.8825,459,
30.8154,460,
30.8015,461,
30.7621,462,
30.6959,463,
30.6297,464,
30.618,465,
30.6604,466,
30.6743,467,
30.6087,468,
30.5435,469,
30.6005,470,
30.5355,471,
30.4795,472,
30.4199,473,
30.4202,474,
30.364,475,
30.3222,476,
30.2813,477,
30.3176,478,
30.2897,479,
30.2266,480,
30.1638,481,
30.5242,482,
30.4612,483,
30.3982,484,
30.4409,485,
30.4698,486,
30.4073,487,
30.3456,488,
30.4707,489,
30.4085,490,
30.4274,491,
30.3655,492,
30.3354,493,
30.2848,494,
30.27,495,
30.2116,496,
30.1508,497,
30.3446,498,
30.3104,499,
30.2498,500,
30.4277,501,
30.4179,502,
30.3975,503,
30.3372,504,
30.3128,505,
30.2529,506,
30.1933,507,
30.1519,508,
30.1232,509,
30.0838,510,
30.0782,511,
30.0195,512,
30.0256,513,
29.9719,514,
29.9308,515,
29.9281,516,
29.8835,517,
29.8258,518,
30.0997,519,
30.1293,520,
30.0715,521,
30.1515,522,
30.232,523,
30.3939,524,
30.4949,525,
30.437,526,
30.4744,527,
30.4609,528,
30.4033,529,
30.4311,530,
30.3739,531,
30.3249,532,
30.277,533,
30.2203,534,
30.2259,535,
30.1732,536,
30.117,537,
30.1747,538,
30.19,539,
30.1341,540,
30.0784,541,
30.0534,542,
30.0539,543,
29.9987,544,
29.9728,545,
29.9179,546,
29.9494,547,
29.8978,548,
29.9118,549,
29.8574,550,
29.9471,551,
29.9074,552,
29.9877,553,
29.9446,554,
29.8991,555,
29.9141,556,
29.9242,557,
29.8706,558,
29.8172,559,
29.7951,560,
29.742,561,
29.7082,562,
29.7294,563,
29.7377,564,
29.7141,565,
29.6616,566,
29.6354,567,
29.5995,568,
29.6874,569,
29.6358,570,
29.6291,571,
29.743,572,
29.7375,573,
29.7106,574,
29.7709,575,
29.7643,576,
29.8027,577,
29.7779,578,
29.7658,579,
29.7447,580,
29.6935,581,
29.6425,582,
29.5916,583,
29.5489,584,
29.6227,585,
29.6004,586,
29.55,587,
29.5414,588,
29.5178,589,
29.4731,590,
29.4232,591,
29.575,592,
29.7685,593,
29.7184,594,
29.7312,595,
29.7518,596,
29.7295,597,
29.6864,598,
29.6605,599,
29.6172,600,
29.5679,601,
29.6989,602,
29.7052,603,
29.6877,604,
29.6387,605,
29.7019,606,
29.653,607,
29.7604,608,
29.7412,609,
29.7446,610,
29.6959,611,
29.6504,612,
29.691,613,
29.6426,614,
29.6828,615,
29.6346,616,
29.6492,617,
29.6599,618,
29.612,619,
29.5642,620,
29.5665,621,
29.5361,622,
29.5173,623,
29.6237,624,
29.7897,625,
29.7421,626,
29.7422,627,
29.7414,628,
29.7751,629,
29.7505,630,
29.7238,631,
29.6953,632,
29.6663,633,
29.6195,634,
29.6611,635,
29.6409,636,
29.5944,637,
29.6743,638,
29.6279,639,
29.5816,640,
29.5355,641,
29.5478,642,
29.515,643,
29.5105,644,
29.5537,645,
29.5079,646,
29.542,647,
29.5101,648,
29.4646,649,
29.421,650,
29.3897,651,
29.4428,652,
29.426,653,
29.5056,654,
29.4762,655,
29.4718,656,
29.4736,657,
29.4288,658,
29.4261,659,
29.4081,660,
29.3666,661,
29.4067,662,
29.3794,663,
29.3447,664,
29.3006,665,
29.3378,666,
29.5309,667,
29.4898,668,
29.4457,669,
29.4018,670,
29.3579,671,
29.3378,672,
29.3049,673,
29.2615,674,
29.2181,675,
29.2721,676,
29.2519,677,
29.2087,678,
29.1732,679,
29.1692,680,
29.2845,681,
29.3441,682,
29.4283,683,
29.3978,684,
29.3549,685,
29.4629,686,
29.4793,687,
29.4365,688,
29.3945,689,
29.5426,690,
29.5153,691,
29.5039,692,
29.4906,693,
29.4837,694,
29.586,695,
29.5435,696,
29.5159,697,
29.505,698,
29.6847,699,
29.672,700,
29.6334,701,
29.5957,702,
29.6046,703,
29.5625,704,
29.5656,705,
29.5814,706,
29.5672,707,
29.5254,708,
29.5338,709,
29.5703,710,
29.5734,711,
29.5319,712,
29.4904,713,
29.4538,714,
29.4126,715,
29.4708,716,
29.8754,717,
29.8792,718,
29.8376,719,
29.853,720,
29.8116,721,
29.7703,722,
29.7588,723,
29.7177,724,
29.7748,725,
29.7338,726,
29.737,727,
29.6961,728,
29.6554,729,
29.6327,730,
29.6017,731,
29.5999,732,
29.5778,733,
29.5631,734,
29.7287,735,
29.7104,736,
29.6701,737,
29.6364,738,
29.682,739,
29.6418,740,
29.6415,741,
29.6015,742,
29.5718,743,
29.532,744,
29.4924,745,
29.4857,746,
29.4611,747,
29.4741,748,
29.4547,749,
29.5085,750,
29.4692,751,
29.4787,752,
29.4713,753,
29.4322,754,
29.3932,755,
29.3738,756,
29.3456,757,
29.3069,758,
29.299,759,
29.3159,760,
29.2773,761,
29.2789,762,
29.243,763,
29.2047,764,
29.2012,765,
29.1818,766,
29.1441,767,
29.4151,768,
29.4494,769,
29.4358,770,
29.5974,771,
29.6595,772,
29.6724,773,
29.6937,774,
29.6623,775,
29.624,776,
29.6161,777,
29.6817,778,
29.6436,779,
29.6151,780,
29.68,781,
29.7205,782,
29.7725,783,
29.7399,784,
29.7714,785,
29.7389,786,
29.7011,787,
29.7026,788,
29.6959,789,
29.6883,790,
29.6507,791,
29.6133,792,
29.5896,793,
29.6098,794,
29.5768,795,
29.5594,796,
29.5223,797,
29.5047,798,
29.4677,799,
